WORD,ID,INVERSE DOCUMENT FREQUENCY
aaron,0,6.7182882540273114
aba,1,6.5359666972333565
abacha,2,8.327726166461412
abacus,3,6.5359666972333565
abacustech,4,6.5359666972333565
abazis,5,6.5359666972333565
abbot,6,6.7182882540273114
abbott,7,6.7182882540273114
abc,8,6.7182882540273114
abdominal,9,5.842819516673411
abdul,10,7.6345789859014666
abdv,11,8.327726166461412
abel,12,6.248284624781576
abhorred,13,7.229113877793302
abidjan,14,7.229113877793302
abiiity,15,6.5359666972333565
ability,16,4.395900533737086
able,17,3.303845645615135
abroad,18,6.941431805341521
absence,19,5.2832037287379885
absolute,20,6.248284624781576
absolutely,21,5.762776808999875
abuse,22,6.248284624781576
acc,23,7.229113877793302
accelerated,24,6.941431805341521
accent,25,6.7182882540273114
accept,26,4.716808253817187
acceptance,27,5.192231950532262
accepted,28,5.494512822405196
accepting,29,6.130501589125192
access,30,3.609227295166317
accessed,31,6.3818160174060985
accessible,32,6.7182882540273114
accessing,33,6.7182882540273114
accessory,34,6.5359666972333565
accommodate,35,6.3818160174060985
accommodation,36,6.941431805341521
accomodate,37,7.229113877793302
accomplish,38,5.331993892907421
accomplished,39,6.248284624781576
accomplishment,40,6.5359666972333565
accordance,41,5.842819516673411
according,42,4.521063676691091
accordingly,43,5.2832037287379885
account,44,3.4994124291591104
accountant,45,5.842819516673411
accounting,46,3.6548973319995053
accrual,47,5.842819516673411
acctg,48,6.5359666972333565
accumulated,49,6.248284624781576
accuracy,50,4.638846712347475
accurate,51,5.494512822405196
accurately,52,6.3818160174060985
ache,53,6.5359666972333565
acheive,54,5.929830893663041
achieve,55,5.494512822405196
achievement,56,6.3818160174060985
acid,57,6.7182882540273114
acidulous,58,6.7182882540273114
acock,59,6.025141073467366
acquire,60,5.688668836846153
acquired,61,6.130501589125192
acquiring,62,6.5359666972333565
acquisition,63,5.031889300457083
acquisitive,64,7.6345789859014666
acre,65,6.248284624781576
acrobat,66,5.842819516673411
across,67,4.772378104971998
act,68,3.850389351983205
acting,69,6.3818160174060985
action,70,3.97101733977182
actipatch,71,8.327726166461412
active,72,4.638846712347475
actively,73,6.7182882540273114
activity,74,3.2778701592118744
acton,75,3.8733788702079037
actua,76,6.130501589125192
actual,77,3.400472481304207
actualized,78,6.130501589125192
actually,79,4.744207228005301
actuals,80,2.798297078949988
acy,81,7.229113877793302
acyclovir,82,6.3818160174060985
ad,83,6.130501589125192
adam,84,5.236683713103096
adapter,85,6.5359666972333565
add,86,3.6642870723493446
added,87,3.839089796729272
adding,88,5.688668836846153
addition,89,3.9088855586648137
additiona,90,6.248284624781576
additional,91,3.1860626099587517
additionally,92,4.153338896565774
address,93,3.2401298312290274
addressed,94,5.031889300457083
adequate,95,6.7182882540273114
adios,96,6.248284624781576
adipex,97,6.025141073467366
adipren,98,6.248284624781576
adjust,99,4.893738961976265
adjustable,100,6.941431805341521
adjusted,101,4.861990263661685
adjustment,102,4.772378104971998
admin,103,5.688668836846153
administration,104,5.494512822405196
administrative,105,5.929830893663041
admiral,106,6.7182882540273114
adobbe,107,6.941431805341521
adobe,108,4.664164520331765
adolph,109,7.229113877793302
adonis,110,6.3818160174060985
adopted,111,6.5359666972333565
adoption,112,6.941431805341521
adult,113,5.331993892907421
adv,114,6.5359666972333565
advance,115,4.80136564184525
advanced,116,5.069629628439929
advantage,117,4.716808253817187
adventure,118,6.3818160174060985
advertisement,119,5.2832037287379885
advertising,120,6.248284624781576
advice,121,4.376482447879984
advise,122,3.5402344236793657
advised,123,4.3574342529092895
advises,124,5.108850341593211
advisor,125,4.861990263661685
advisory,126,6.5359666972333565
adware,127,7.6345789859014666
aeor,128,5.236683713103096
aep,129,6.248284624781576
affair,130,5.842819516673411
affect,131,5.2832037287379885
affected,132,5.494512822405196
affecting,133,6.025141073467366
affiliate,134,4.831218604994931
affiliated,135,5.762776808999875
afford,136,5.688668836846153
affordable,137,5.031889300457083
afloat,138,7.229113877793302
aforementioned,139,6.025141073467366
afraid,140,6.248284624781576
africa,141,5.4373544085652465
aftermath,142,6.5359666972333565
afternoon,143,3.933277011788973
age,144,4.638846712347475
aged,145,7.229113877793302
agency,146,5.108850341593211
agenda,147,6.025141073467366
agent,148,4.744207228005301
aggie,149,6.941431805341521
aggragate,150,7.229113877793302
aggregate,151,6.5359666972333565
aggressive,152,5.55513744422163
aging,153,6.5359666972333565
agmt,154,6.3818160174060985
ago,155,4.477578564751353
agra,156,6.3818160174060985
agree,157,3.7633779749935754
agreed,158,4.5435365325431505
agreement,159,3.1073703413830867
agrees,160,6.130501589125192
agricultural,161,6.3818160174060985
agua,162,5.929830893663041
ahead,163,5.149672336113466
aid,164,5.383287187294971
aide,165,6.7182882540273114
ail,166,5.762776808999875
aim,167,6.130501589125192
aimee,168,3.557041541995747
air,169,4.893738961976265
airline,170,5.929830893663041
airmass,171,6.7182882540273114
airpanel,172,8.327726166461412
airplane,173,6.3818160174060985
airport,174,6.7182882540273114
aiso,175,6.5359666972333565
aiways,176,6.3818160174060985
ajax,177,6.941431805341521
ajello,178,6.941431805341521
akin,179,6.7182882540273114
alan,180,6.5359666972333565
alarm,181,6.941431805341521
alaska,182,6.3818160174060985
albert,183,6.941431805341521
alberta,184,6.7182882540273114
albrecht,185,5.192231950532262
alcoa,186,6.941431805341521
alcohol,187,5.929830893663041
alderman,188,6.5359666972333565
alert,189,4.960430336474937
alex,190,6.3818160174060985
alexander,191,6.941431805341521
alfonso,192,6.941431805341521
ali,193,4.744207228005301
alias,194,6.130501589125192
align,195,5.069629628439929
alike,196,6.7182882540273114
alisave,197,7.6345789859014666
alium,198,6.7182882540273114
alive,199,5.929830893663041
alka,200,8.327726166461412
alland,201,5.55513744422163
allen,202,3.6642870723493446
allergy,203,5.494512822405196
alliance,204,6.5359666972333565
alliterate,205,6.7182882540273114
allocatable,206,6.025141073467366
allocate,207,4.4157031610332655
allocated,208,3.5915277180669163
allocates,209,6.025141073467366
allocating,210,5.108850341593211
allocation,211,3.8279164961311465
allotted,212,6.5359666972333565
allow,213,4.123033547070445
allowed,214,5.619675965359201
allowing,215,5.4373544085652465
allows,216,5.4373544085652465
ally,217,6.248284624781576
almagest,218,6.7182882540273114
almost,219,4.861990263661685
alone,220,5.842819516673411
along,221,4.614154099757104
aloud,222,6.7182882540273114
alp,223,6.5359666972333565
alpha,224,6.3818160174060985
alpine,225,6.3818160174060985
already,226,3.5827940380981613
also,227,2.2386812910145655
alt,228,6.130501589125192
alternative,229,5.192231950532262
althaus,230,7.229113877793302
although,231,5.149672336113466
altra,232,6.941431805341521
alumnus,233,7.229113877793302
alvin,234,6.3818160174060985
always,235,3.850389351983205
amanda,236,7.229113877793302
amazing,237,5.331993892907421
amazon,238,6.5359666972333565
ambien,239,5.108850341593211
amblen,240,6.3818160174060985
ambulate,241,7.6345789859014666
amelia,242,5.494512822405196
amended,243,5.842819516673411
amerada,244,6.3818160174060985
america,245,2.8264679559166845
american,246,5.108850341593211
ami,247,2.9478288129209522
amoco,248,6.025141073467366
among,249,4.861990263661685
amorous,250,7.6345789859014666
amount,251,3.8279164961311465
amp,252,6.7182882540273114
amsterdam,253,6.130501589125192
amy,254,5.494512822405196
ana,255,6.5359666972333565
anadarko,256,5.929830893663041
analysis,257,4.926528784799256
analyst,258,5.2832037287379885
analyze,259,6.5359666972333565
anax,260,6.7182882540273114
anbsp,261,7.229113877793302
anchorite,262,6.7182882540273114
ancient,263,6.7182882540273114
anderson,264,5.4373544085652465
andrea,265,6.248284624781576
andrew,266,5.929830893663041
andy,267,6.7182882540273114
angel,268,6.7182882540273114
angela,269,6.025141073467366
angeles,270,5.494512822405196
anger,271,7.229113877793302
angie,272,6.025141073467366
anglo,273,6.941431805341521
aniline,274,6.7182882540273114
animal,275,7.229113877793302
anita,276,4.250188722555692
ann,277,6.3818160174060985
anna,278,6.941431805341521
annals,279,6.7182882540273114
anne,280,6.7182882540273114
annette,281,6.5359666972333565
anniversary,282,6.3818160174060985
announce,283,4.960430336474937
announced,284,5.192231950532262
announcement,285,4.926528784799256
announces,286,5.762776808999875
annual,287,5.236683713103096
annually,288,5.688668836846153
annulus,289,6.7182882540273114
anonymous,290,6.025141073467366
another,291,3.475695902541794
anp,292,6.941431805341521
answer,293,4.093619661864152
answered,294,6.130501589125192
antenna,295,6.7182882540273114
anthony,296,6.3818160174060985
anti,297,4.926528784799256
anticipate,298,5.842819516673411
anticipated,299,4.690140006735025
anticipates,300,5.031889300457083
antivirus,301,5.688668836846153
antler,302,6.7182882540273114
antoine,303,6.7182882540273114
anxiety,304,5.236683713103096
anxious,305,6.7182882540273114
anybody,306,5.929830893663041
anymore,307,5.762776808999875
anyone,308,3.805937589412371
anything,309,3.364881536201504
anytime,310,5.236683713103096
anyway,311,5.4373544085652465
anywhere,312,5.192231950532262
aoa,313,6.941431805341521
aoffa,314,7.6345789859014666
aol,315,4.80136564184525
aopen,316,5.108850341593211
apace,317,7.6345789859014666
apache,318,4.4157031610332655
apap,319,6.3818160174060985
apapl,320,6.3818160174060985
apart,321,6.3818160174060985
apc,322,5.108850341593211
apex,323,6.7182882540273114
apologize,324,5.842819516673411
apology,325,6.025141073467366
app,326,6.130501589125192
appall,327,7.6345789859014666
apparently,328,5.031889300457083
appeal,329,6.5359666972333565
appear,330,4.690140006735025
appeared,331,5.688668836846153
appears,332,4.80136564184525
appendix,333,6.7182882540273114
appetite,334,5.494512822405196
apple,335,6.7182882540273114
appliance,336,6.941431805341521
applicable,337,5.55513744422163
applicant,338,6.248284624781576
application,339,4.138071424434986
applied,340,5.494512822405196
applies,341,6.7182882540273114
apply,342,4.744207228005301
appointment,343,5.494512822405196
